state,party4
pennsylvania,independent
pennsylvania,other\no preference\dk\refused
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,independent
pennsylvania,independent
pennsylvania,democrat
pennsylvania,independent
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,independent
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,independent
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,independent
pennsylvania,independent
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,independent
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,independent
pennsylvania,other\no preference\dk\refused
pennsylvania,republican
pennsylvania,democrat
pennsylvania,independent
pennsylvania,independent
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,independent
pennsylvania,independent
pennsylvania,democrat
pennsylvania,republican
pennsylvania,independent
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,other\no preference\dk\refused
pennsylvania,democrat
pennsylvania,other\no preference\dk\refused
pennsylvania,republican
pennsylvania,independent
pennsylvania,republican
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,independent
pennsylvania,republican
pennsylvania,independent
pennsylvania,republican
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,other\no preference\dk\refused
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,independent
pennsylvania,independent
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,democrat
pennsylvania,other\no preference\dk\refused
pennsylvania,democrat
pennsylvania,independent
pennsylvania,democrat
pennsylvania,other\no preference\dk\refused
pennsylvania,republican
pennsylvania,democrat
pennsylvania,other\no preference\dk\refused
pennsylvania,republican
pennsylvania,republican
illinois,independent
pennsylvania,democrat
pennsylvania,independent
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,other\no preference\dk\refused
pennsylvania,democrat
pennsylvania,independent
pennsylvania,republican
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,independent
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,independent
pennsylvania,independent
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,independent
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,independent
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,independent
pennsylvania,independent
pennsylvania,independent
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,independent
pennsylvania,democrat
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,independent
pennsylvania,republican
pennsylvania,republican
pennsylvania,independent
pennsylvania,other\no preference\dk\refused
pennsylvania,independent
pennsylvania,independent
pennsylvania,democrat
pennsylvania,independent
pennsylvania,republican
pennsylvania,independent
pennsylvania,democrat
pennsylvania,democrat
pennsylvania,independent
pennsylvania,republican
pennsylvania,democrat
pennsylvania,republican
pennsylvania,republican
pennsylvania,republican
pennsylvania,independent
pennsylvania,independent
pennsylvania,independent
pennsylvania,other\no preference\dk\refused
pennsylvania,independent
pennsylvania,independent
pennsylvania,independent
pennsylvania,republican
pennsylvania,democrat
